Model,Layer,G,avg_m,M,N,K,transpose_impl,tile_cfg,w_MiB,w_bytes_per_flop,t_transpose_ms,cv_transpose,t_gemm_ms,cv_gemm,t_nocache_ms,cv_nocache,t_triton_ms,cv_triton,tf_gemm,tf_triton,transpose_GBps,speedup_gemm_vs_triton,N_star,sclk_min,sclk_max,sclk_mean,rel_flydsl,rel_triton,flydsl_eq_triton,eff_N1_ms,model_N1_ms,dev_N1_pct,cv_N1,eff_N2_ms,model_N2_ms,dev_N2_pct,cv_N2,eff_N4_ms,model_N4_ms,dev_N4_pct,cv_N4,eff_N8_ms,model_N8_ms,dev_N8_pct,cv_N8,eff_N16_ms,model_N16_ms,dev_N16_pct,cv_N16,eff_N32_ms,model_N32_ms,dev_N32_pct,cv_N32
qwen3-30b-a3b,fc2,16,2048,32768,2048,2048,fast,BM256/BN256/BK128/mw2/nw2/nb2,128.0,0.00048828125,0.01555,0.03328,0.17332,0.00336,0.20574,0.0056,0.21747,0.00314,1585.98,1263.98,17265.9,1.2548,0.352,2086.0,2153.5,2127.0,0.0016558121993083697,0.0016558121993083697,True,0.20866,0.18886,10.48,0.01113,0.18888,0.18109,4.3,0.00196,0.18067,0.1772,1.95,0.00241,0.17675,0.17526,0.85,0.00252,0.17492,0.17429,0.36,0.00213,0.17435,0.1738,0.31,0.00336
qwen3-235b-a22b,fc1,16,512,8192,8192,4096,fast,BM256/BN256/BK128/mw2/nw2/nb2,1024.0,0.001953125,0.13242,0.00401,0.3812,0.0022,0.51032,0.00445,0.37883,0.00168,1442.17,1451.18,16217.6,0.9938,inf,1989.8,2061.0,2035.5,0.001656139098925327,0.001656139098925327,True,0.51389,0.51362,0.05,0.00902,0.44464,0.44741,-0.62,0.00206,0.41221,0.41431,-0.51,0.00254,0.39531,0.39775,-0.61,0.00124,0.38689,0.38948,-0.66,0.00285,0.38317,0.38534,-0.56,0.00205
qwen3-235b-a22b,fc2,16,512,8192,4096,4096,fast,BM256/BN256/BK128/mw2/nw2/nb2,512.0,0.001953125,0.06733,0.00396,0.20061,0.00321,0.26845,0.00431,0.20074,0.00559,1370.24,1369.32,15948.6,1.0007,500.458,2027.0,2091.5,2068.3,0.0016617414887667222,0.0016617414887667222,True,0.27188,0.26793,1.47,0.01259,0.23448,0.23427,0.09,0.00198,0.2174,0.21744,-0.02,0.00178,0.20894,0.20902,-0.04,0.00277,0.20458,0.20481,-0.11,0.00408,0.20258,0.20271,-0.06,0.0028
qwen3-235b-a22b,fc1,16,1024,16384,8192,4096,fast,BM256/BN256/BK128/mw2/nw2/nb2,1024.0,0.0009765625,0.13257,0.00469,0.63473,0.0018,0.76168,0.00289,0.73574,0.00131,1732.26,1494.43,16198.7,1.1591,1.312,1981.8,2063.0,2032.8,0.0016558900513023763,0.0016558900513023763,True,0.76712,0.7673,-0.02,0.00433,0.69691,0.70101,-0.59,0.00108,0.66334,0.66787,-0.68,0.00237,0.64744,0.6513,-0.59,0.00065,0.64035,0.64301,-0.41,0.00153,0.63609,0.63887,-0.43,0.00174
qwen3-235b-a22b,fc2,16,1024,16384,4096,4096,fast,BM256/BN256/BK128/mw2/nw2/nb2,512.0,0.0009765625,0.06726,0.00299,0.33171,0.00144,0.3986,0.00312,0.38926,0.00182,1657.33,1412.33,15963.1,1.1735,1.169,1999.2,2087.9,2057.3,0.0016616876485089584,0.0016616876485089584,True,0.40363,0.39897,1.17,0.00646,0.36422,0.36534,-0.31,0.00071,0.34758,0.34853,-0.27,0.00193,0.33979,0.34012,-0.1,0.00161,0.33536,0.33591,-0.16,0.00234,0.33283,0.33381,-0.3,0.0021
qwen3-235b-a22b,fc1,16,2048,32768,8192,4096,fast,BM256/BN256/BK128/mw2/nw2/nb2,1024.0,0.00048828125,0.13234,0.00404,1.12156,0.00116,1.24671,0.00246,1.45922,0.0012,1960.69,1506.99,16227.2,1.3011,0.392,1983.4,2063.8,2033.3,0.0016558790841841775,0.0016558790841841775,True,1.25292,1.2539,-0.08,0.00325,1.18233,1.18773,-0.45,0.00155,1.1507,1.15464,-0.34,0.00169,1.13432,1.1381,-0.33,0.00117,1.12614,1.12983,-0.33,0.0017,1.12209,1.12569,-0.32,0.00043
qwen3-235b-a22b,fc2,16,2048,32768,4096,4096,fast,BM256/BN256/BK128/mw2/nw2/nb2,512.0,0.00048828125,0.06746,0.00528,0.58426,0.0014,0.65073,0.00292,0.77266,0.00102,1881.87,1423.01,15915.6,1.3225,0.358,1997.8,2088.9,2055.5,0.0016616513153097216,0.0016616513153097216,True,0.65134,0.65173,-0.06,0.00454,0.61656,0.618,-0.23,0.00135,0.59919,0.60113,-0.32,0.00118,0.59071,0.5927,-0.34,0.00138,0.58697,0.58848,-0.26,0.00171,0.58596,0.58637,-0.07,0.00119
deepseek-v3,fc1,32,128,4096,4096,7168,fast,BM128/BN128/BK128/mw2/nw2/nb2,1792.0,0.0078125,0.23606,0.00261,0.2963,0.00371,0.53108,0.00234,0.39341,0.00136,811.74,611.36,15920.1,1.3278,2.431,2006.4,2082.1,2052.7,0.0016617181254962236,0.0016617181254962236,True,0.53509,0.53236,0.51,0.00818,0.4133,0.41433,-0.25,0.00152,0.3538,0.35532,-0.43,0.00194,0.32524,0.32581,-0.18,0.00188,0.30987,0.31105,-0.38,0.00108,0.30307,0.30368,-0.2,0.00499
deepseek-v3,fc2,32,128,4096,7168,2048,fast,BM128/BN128/BK128/mw2/nw2/nb2,896.0,0.0078125,0.11696,0.00307,0.16049,0.00194,0.27639,0.00273,0.17525,0.00318,749.31,686.23,16065.2,1.0919,7.928,2041.0,2071.9,2060.1,0.00165856191935895,0.00165856191935895,True,0.27908,0.27746,0.59,0.00814,0.21854,0.21898,-0.2,0.00361,0.18899,0.18973,-0.39,0.00116,0.17486,0.17511,-0.15,0.00285,0.16765,0.1678,-0.09,0.00171,0.16436,0.16415,0.13,0.00163
deepseek-v3,fc1,32,256,8192,4096,7168,fast,BM256/BN256/BK128/mw2/nw2/nb2,1792.0,0.00390625,0.2359,0.00386,0.43801,0.00266,0.67208,0.00191,0.4042,0.00402,1098.24,1190.09,15931.2,0.9228,inf,2023.1,2086.9,2062.4,0.0016616020468730374,0.0016616020468730374,True,0.67537,0.6739,0.22,0.00482,0.5547,0.55595,-0.23,0.00296,0.49578,0.49698,-0.24,0.00081,0.46676,0.46749,-0.16,0.00133,0.45263,0.45275,-0.03,0.00274,0.44488,0.44538,-0.11,0.00264
deepseek-v3,fc2,32,256,8192,7168,2048,fast,BM256/BN256/BK128/mw2/nw2/nb2,896.0,0.00390625,0.11708,0.0038,0.2221,0.00234,0.33787,0.00175,0.18082,0.00192,1082.93,1330.17,16049.8,0.8141,inf,2033.0,2063.6,2051.8,0.0016576166421194915,0.0016576166421194915,True,0.34107,0.33917,0.56,0.00448,0.27904,0.28064,-0.57,0.00181,0.25013,0.25137,-0.49,0.00231,0.23566,0.23673,-0.45,0.00164,0.22843,0.22942,-0.43,0.00193,0.22541,0.22576,-0.15,0.00234
deepseek-v3,fc1,32,512,16384,4096,7168,fast,BM256/BN256/BK128/mw2/nw2/nb2,1792.0,0.001953125,0.23611,0.00346,0.69143,0.00131,0.92523,0.00264,0.70788,0.00303,1391.42,1359.08,15916.8,1.0238,14.354,2013.6,2068.8,2047.6,0.0016615755634570928,0.0016615755634570928,True,0.92957,0.92754,0.22,0.00508,0.80632,0.80949,-0.39,0.00096,0.74911,0.75046,-0.18,0.00141,0.71899,0.72095,-0.27,0.00079,0.70503,0.70619,-0.16,0.00192,0.69759,0.69881,-0.18,0.00154
deepseek-v3,fc2,32,512,16384,7168,2048,fast,BM256/BN256/BK128/mw2/nw2/nb2,896.0,0.001953125,0.11749,0.00478,0.33838,0.00165,0.45279,0.00263,0.34195,0.00242,1421.6,1406.76,15993.1,1.0106,32.911,1996.9,2065.1,2039.6,0.0016575256411984452,0.0016575256411984452,True,0.45752,0.45587,0.36,0.01175,0.3949,0.39712,-0.56,0.00289,0.36641,0.36775,-0.36,0.00194,0.35099,0.35306,-0.59,0.00208,0.34508,0.34572,-0.19,0.0016,0.34116,0.34205,-0.26,0.00083
